Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,source,State,TotalSamples,Negative,Positive
102.0,11/03/20,6:00 PM,Rajasthan,1,2,0.0,0.0,3.0,train,,,,
103.0,11/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
104.0,11/03/20,6:00 PM,Uttar Pradesh,9,0,0.0,0.0,9.0,train,,,,
105.0,11/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
106.0,11/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
107.0,11/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
108.0,11/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
109.0,11/03/20,6:00 PM,Karnataka,4,0,0.0,0.0,4.0,train,,,,
110.0,12/03/20,6:00 PM,Delhi,6,0,0.0,0.0,6.0,train,,,,
111.0,12/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
112.0,12/03/20,6:00 PM,Kerala,17,0,3.0,0.0,17.0,train,,,,
113.0,12/03/20,6:00 PM,Rajasthan,1,2,0.0,0.0,3.0,train,,,,
114.0,12/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
115.0,12/03/20,6:00 PM,Uttar Pradesh,10,1,0.0,0.0,11.0,train,,,,
116.0,12/03/20,6:00 PM,Ladakh,3,0,0.0,0.0,3.0,train,,,,
117.0,12/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
118.0,12/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
119.0,12/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
120.0,12/03/20,6:00 PM,Karnataka,4,0,0.0,0.0,4.0,train,,,,
121.0,12/03/20,6:00 PM,Maharashtra,11,0,0.0,0.0,11.0,train,,,,
122.0,12/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
123.0,13/03/20,6:00 PM,Delhi,6,0,0.0,0.0,6.0,train,,,,
124.0,13/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
125.0,13/03/20,6:00 PM,Kerala,19,0,3.0,0.0,19.0,train,,,,
126.0,13/03/20,6:00 PM,Rajasthan,1,2,0.0,0.0,3.0,train,,,,
127.0,13/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
128.0,13/03/20,6:00 PM,Uttar Pradesh,10,1,0.0,0.0,11.0,train,,,,
129.0,13/03/20,6:00 PM,Ladakh,3,0,0.0,0.0,3.0,train,,,,
130.0,13/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
131.0,13/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
132.0,13/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
133.0,13/03/20,6:00 PM,Karnataka,6,0,0.0,1.0,6.0,train,,,,
134.0,13/03/20,6:00 PM,Maharashtra,14,0,0.0,0.0,14.0,train,,,,
135.0,13/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
136.0,14/03/20,6:00 PM,Delhi,7,0,1.0,1.0,7.0,train,,,,
137.0,14/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
138.0,14/03/20,6:00 PM,Kerala,19,0,3.0,0.0,19.0,train,,,,
139.0,14/03/20,6:00 PM,Rajasthan,1,2,1.0,0.0,3.0,train,,,,
140.0,14/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
141.0,14/03/20,6:00 PM,Uttar Pradesh,11,1,5.0,0.0,12.0,train,,,,
142.0,14/03/20,6:00 PM,Ladakh,3,0,0.0,0.0,3.0,train,,,,
143.0,14/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
144.0,14/03/20,6:00 PM,Jammu and Kashmir,2,0,0.0,0.0,2.0,train,,,,
145.0,14/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
146.0,14/03/20,6:00 PM,Karnataka,6,0,0.0,1.0,6.0,train,,,,
147.0,14/03/20,6:00 PM,Maharashtra,14,0,0.0,0.0,14.0,train,,,,
148.0,14/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
149.0,15/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
150.0,15/03/20,6:00 PM,Delhi,7,0,2.0,1.0,7.0,train,,,,
151.0,15/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
152.0,15/03/20,6:00 PM,Karnataka,6,0,0.0,1.0,6.0,train,,,,
153.0,15/03/20,6:00 PM,Kerala,22,0,3.0,0.0,22.0,train,,,,
154.0,15/03/20,6:00 PM,Maharashtra,32,0,0.0,0.0,32.0,train,,,,
155.0,15/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
156.0,15/03/20,6:00 PM,Rajasthan,2,2,3.0,0.0,4.0,train,,,,
157.0,15/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
158.0,15/03/20,6:00 PM,Telengana,3,0,1.0,0.0,3.0,train,,,,
159.0,15/03/20,6:00 PM,Jammu and Kashmir,2,0,0.0,0.0,2.0,train,,,,
160.0,15/03/20,6:00 PM,Ladakh,3,0,0.0,0.0,3.0,train,,,,
161.0,15/03/20,6:00 PM,Uttar Pradesh,12,1,4.0,0.0,13.0,train,,,,
162.0,15/03/20,6:00 PM,Uttarakhand,1,0,0.0,0.0,1.0,train,,,,
163.0,16/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
164.0,16/03/20,6:00 PM,Delhi,7,0,2.0,1.0,7.0,train,,,,
165.0,16/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
166.0,16/03/20,6:00 PM,Karnataka,6,0,0.0,1.0,6.0,train,,,,
167.0,16/03/20,6:00 PM,Kerala,23,0,3.0,0.0,23.0,train,,,,
168.0,16/03/20,6:00 PM,Maharashtra,32,0,0.0,0.0,32.0,train,,,,
169.0,16/03/20,6:00 PM,Odisha,1,0,0.0,0.0,1.0,train,,,,
170.0,16/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
171.0,16/03/20,6:00 PM,Rajasthan,2,2,3.0,0.0,4.0,train,,,,
172.0,16/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
173.0,16/03/20,6:00 PM,Telengana,3,0,1.0,0.0,3.0,train,,,,
174.0,16/03/20,6:00 PM,Jammu and Kashmir,3,0,0.0,0.0,3.0,train,,,,
175.0,16/03/20,6:00 PM,Ladakh,4,0,0.0,0.0,4.0,train,,,,
176.0,16/03/20,6:00 PM,Uttar Pradesh,12,1,4.0,0.0,13.0,train,,,,
177.0,16/03/20,6:00 PM,Uttarakhand,1,0,0.0,0.0,1.0,train,,,,
178.0,17/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
179.0,17/03/20,6:00 PM,Delhi,8,0,2.0,1.0,8.0,train,,,,
180.0,17/03/20,6:00 PM,Haryana,1,14,0.0,0.0,15.0,train,,,,
181.0,17/03/20,6:00 PM,Karnataka,11,0,0.0,1.0,11.0,train,,,,
182.0,17/03/20,6:00 PM,Kerala,24,2,3.0,0.0,26.0,train,,,,
183.0,17/03/20,6:00 PM,Maharashtra,36,3,0.0,1.0,39.0,train,,,,
184.0,17/03/20,6:00 PM,Odisha,1,0,0.0,0.0,1.0,train,,,,
185.0,17/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
186.0,17/03/20,6:00 PM,Rajasthan,2,2,3.0,0.0,4.0,train,,,,
187.0,17/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
188.0,17/03/20,6:00 PM,Telengana,3,2,1.0,0.0,5.0,train,,,,
189.0,17/03/20,6:00 PM,Jammu and Kashmir,3,0,0.0,0.0,3.0,train,,,,
190.0,17/03/20,6:00 PM,Ladakh,6,0,0.0,0.0,6.0,train,,,,
191.0,17/03/20,6:00 PM,Uttar Pradesh,14,1,5.0,0.0,15.0,train,,,,
192.0,17/03/20,6:00 PM,Uttarakhand,1,0,0.0,0.0,1.0,train,,,,
193.0,18/03/20,6:00 PM,Andhra Pradesh,1,0,0.0,0.0,1.0,train,,,,
194.0,18/03/20,6:00 PM,Delhi,9,1,2.0,1.0,10.0,train,,,,
195.0,18/03/20,6:00 PM,Haryana,3,14,0.0,0.0,17.0,train,,,,
196.0,18/03/20,6:00 PM,Karnataka,11,0,0.0,1.0,11.0,train,,,,
197.0,18/03/20,6:00 PM,Kerala,25,2,3.0,0.0,27.0,train,,,,
198.0,18/03/20,6:00 PM,Maharashtra,39,3,0.0,1.0,42.0,train,,,,
199.0,18/03/20,6:00 PM,Odisha,1,0,0.0,0.0,1.0,train,,,,
200.0,18/03/20,6:00 PM,Puducherry,1,0,0.0,0.0,1.0,train,,,,
201.0,18/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
202.0,18/03/20,6:00 PM,Rajasthan,2,2,3.0,0.0,4.0,train,,,,
203.0,18/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
204.0,18/03/20,6:00 PM,Telengana,4,2,1.0,0.0,6.0,train,,,,
205.0,18/03/20,6:00 PM,Jammu and Kashmir,3,0,0.0,0.0,3.0,train,,,,
206.0,18/03/20,6:00 PM,Ladakh,8,0,0.0,0.0,8.0,train,,,,
207.0,18/03/20,6:00 PM,Uttar Pradesh,15,1,5.0,0.0,16.0,train,,,,
208.0,18/03/20,6:00 PM,Uttarakhand,1,0,0.0,0.0,1.0,train,,,,
209.0,18/03/20,6:00 PM,West Bengal,1,0,0.0,0.0,1.0,train,,,,
210.0,19/03/20,6:00 PM,Andhra Pradesh,2,0,0.0,0.0,2.0,train,,,,
211.0,19/03/20,6:00 PM,Chhattisgarh,1,0,0.0,0.0,1.0,train,,,,
212.0,19/03/20,6:00 PM,Delhi,11,1,3.0,1.0,12.0,train,,,,
213.0,19/03/20,6:00 PM,Haryana,3,14,0.0,0.0,17.0,train,,,,
214.0,19/03/20,6:00 PM,Karnataka,14,0,0.0,1.0,14.0,train,,,,
215.0,19/03/20,6:00 PM,Kerala,25,2,3.0,0.0,27.0,train,,,,
216.0,19/03/20,6:00 PM,Maharashtra,44,3,0.0,1.0,47.0,train,,,,
217.0,19/03/20,6:00 PM,Odisha,1,0,0.0,0.0,1.0,train,,,,
218.0,19/03/20,6:00 PM,Puducherry,1,0,0.0,0.0,1.0,train,,,,
219.0,19/03/20,6:00 PM,Punjab,2,0,0.0,1.0,2.0,train,,,,
220.0,19/03/20,6:00 PM,Rajasthan,5,2,3.0,0.0,7.0,train,,,,
221.0,19/03/20,6:00 PM,Tamil Nadu,2,0,1.0,0.0,2.0,train,,,,
222.0,19/03/20,6:00 PM,Telengana,4,2,1.0,0.0,6.0,train,,,,
223.0,19/03/20,6:00 PM,Chandigarh,1,0,0.0,0.0,1.0,train,,,,
224.0,19/03/20,6:00 PM,Jammu and Kashmir,4,0,0.0,0.0,4.0,train,,,,
225.0,19/03/20,6:00 PM,Ladakh,8,0,0.0,0.0,8.0,train,,,,
226.0,19/03/20,6:00 PM,Uttar Pradesh,18,1,9.0,0.0,19.0,train,,,,
227.0,19/03/20,6:00 PM,Uttarakhand,1,0,0.0,0.0,1.0,train,,,,
228.0,19/03/20,6:00 PM,West Bengal,1,0,0.0,0.0,1.0,train,,,,
229.0,20/03/20,6:00 PM,Andhra Pradesh,3,0,0.0,0.0,3.0,train,,,,
230.0,20/03/20,6:00 PM,Chhattisgarh,1,0,0.0,0.0,1.0,train,,,,
231.0,20/03/20,6:00 PM,Delhi,16,1,5.0,1.0,17.0,train,,,,
232.0,20/03/20,6:00 PM,Gujarat,5,0,0.0,0.0,5.0,train,,,,
233.0,20/03/20,6:00 PM,Haryana,3,14,0.0,0.0,17.0,train,,,,
234.0,20/03/20,6:00 PM,Karnataka,15,0,1.0,1.0,15.0,train,,,,
235.0,20/03/20,6:00 PM,Kerala,26,2,3.0,0.0,28.0,train,,,,
236.0,20/03/20,6:00 PM,Maharashtra,49,3,0.0,1.0,52.0,train,,,,
237.0,20/03/20,6:00 PM,Odisha,2,0,0.0,0.0,2.0,train,,,,
238.0,20/03/20,6:00 PM,Puducherry,1,0,0.0,0.0,1.0,train,,,,
239.0,20/03/20,6:00 PM,Punjab,2,0,0.0,1.0,2.0,train,,,,
240.0,20/03/20,6:00 PM,Rajasthan,15,2,3.0,0.0,17.0,train,,,,
241.0,20/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3.0,train,,,,
242.0,20/03/20,6:00 PM,Telengana,8,9,1.0,0.0,17.0,train,,,,
243.0,20/03/20,6:00 PM,Chandigarh,1,0,0.0,0.0,1.0,train,,,,
244.0,20/03/20,6:00 PM,Jammu and Kashmir,4,0,0.0,0.0,4.0,train,,,,
245.0,20/03/20,6:00 PM,Ladakh,10,0,0.0,0.0,10.0,train,,,,
246.0,20/03/20,6:00 PM,Uttar Pradesh,22,1,9.0,0.0,23.0,train,,,,
247.0,20/03/20,6:00 PM,Uttarakhand,3,0,0.0,0.0,3.0,train,,,,
248.0,20/03/20,6:00 PM,West Bengal,2,0,0.0,0.0,2.0,train,,,,
249.0,21/03/20,6:00 PM,Andhra Pradesh,3,0,0.0,0.0,3.0,train,,,,
250.0,21/03/20,6:00 PM,Chhattisgarh,1,0,0.0,0.0,1.0,train,,,,
251.0,21/03/20,6:00 PM,Delhi,25,1,5.0,1.0,26.0,train,,,,
252.0,21/03/20,6:00 PM,Gujarat,7,0,0.0,0.0,7.0,train,,,,
253.0,21/03/20,6:00 PM,Haryana,3,14,0.0,0.0,17.0,train,,,,
254.0,21/03/20,6:00 PM,Himachal Pradesh,2,0,0.0,0.0,2.0,train,,,,
255.0,21/03/20,6:00 PM,Karnataka,15,0,1.0,1.0,15.0,train,,,,
256.0,21/03/20,6:00 PM,Kerala,33,7,3.0,0.0,40.0,train,,,,
257.0,21/03/20,6:00 PM,Madhya Pradesh,4,0,0.0,0.0,4.0,train,,,,
258.0,21/03/20,6:00 PM,Maharashtra,60,3,0.0,1.0,63.0,train,,,,
259.0,21/03/20,6:00 PM,Odisha,2,0,0.0,0.0,2.0,train,,,,
260.0,21/03/20,6:00 PM,Puducherry,1,0,0.0,0.0,1.0,train,,,,
261.0,21/03/20,6:00 PM,Punjab,13,0,0.0,1.0,13.0,train,,,,
262.0,21/03/20,6:00 PM,Rajasthan,15,2,3.0,0.0,17.0,train,,,,
263.0,21/03/20,6:00 PM,Tamil Nadu,3,0,1.0,0.0,3.0,train,,,,
264.0,21/03/20,6:00 PM,Telengana,10,11,1.0,0.0,21.0,train,,,,
265.0,21/03/20,6:00 PM,Chandigarh,1,0,0.0,0.0,1.0,train,,,,
266.0,21/03/20,6:00 PM,Jammu and Kashmir,4,0,0.0,0.0,4.0,train,,,,
267.0,21/03/20,6:00 PM,Ladakh,13,0,0.0,0.0,13.0,train,,,,
268.0,21/03/20,6:00 PM,Uttar Pradesh,23,1,9.0,0.0,24.0,train,,,,
